center,angle
[29 91],14.0625
[12 78],19.6875
[28 90],19.6875
[14 75],16.875
[15 79],19.6875
[15 79],19.6875
[15 79],19.6875
[15 79],19.6875
[ 27 110],8.4375
[30 87],19.6875
[27 89],19.6875
[31 83],36.5625
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[27 89],19.6875
[16 73],14.0625
[22 81],19.6875
[22 81],19.6875
[24 78],19.6875
[25 75],8.4375
[25 78],14.0625
[25 78],14.0625
[25 78],14.0625
[27 73],14.0625
[27 94],16.875
[26 78],14.0625
[26 78],14.0625
[26 78],14.0625
[26 78],14.0625
[26 78],14.0625
[26 78],14.0625
[26 78],14.0625
[24 81],14.0625
[24 81],14.0625
[24 81],14.0625
[ 7 13],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[23 88],14.0625
[ 22 100],14.0625
[23 89],14.0625
[23 89],14.0625
[23 94],2.8125
[23 99],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[25 91],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
[23 92],14.0625
