center,angle
[18 14],16.875
[30 10],16.875
[30 92],[19.6875]
[18 96],11.25
[327 111],11.25
[339 111],14.0625
[304 115],2.8125
[316 115],5.625
[327 115],11.25
[292 119],8.4375
[304 119],5.625
[316 119],2.8125
[280 123],14.0625
[292 123],8.4375
[18 92],11.25
[327 107],8.4375
[339 107],11.25
[316 111],5.625
[304 123],5.625
[280 127],11.25
[292 127],8.4375
[316 107],2.8125
[304 111],0.0
[292 115],0.0
[280 119],5.625
[327 119],2.8125
[316 123],0.0
[304 127],2.8125
[316 127],2.8125
[292 131],5.625
[304 131],2.8125
[304 107],0.0
[292 111],177.1875
[280 115],[2.8125]
[339 115],[2.8125]
[339 119],[2.8125]
[327 123],177.1875
[316 131],[2.8125]
[327 127],[177.1875]
[470 139],149.0625
[423 143],146.25
[435 147],146.25
[447 135],146.25
[458 139],146.25
[411 131],143.4375
[435 135],143.4375
[411 143],143.4375
[482 143],143.4375
[494 143],143.4375
[447 147],143.4375
[458 147],[149.0625]
[458 150],143.4375
[470 150],143.4375
[482 150],143.4375
[482 154],[149.0625]
[494 154],146.25
[399 131],140.625
[423 135],140.625
[482 139],140.625
[399 143],140.625
[423 147],140.625
[387 131],[137.8125]
[411 135],[137.8125]
[447 139],[137.8125]
[154  18],[98.4375]
[139  18],90.0
[143  18],90.0
[147  18],90.0
[150  18],90.0
