Y	X	Ang 
365	466	32
361	478	38
368	478	42
348	493	50
358	490	47
338	501	56
94	473	76
77	490	45
369	490	27
69	501	24
363	501	33
466	132	54
465	141	29
457	153	83
373	455	22
455	164	20
463	443	17
145	430	14
465	430	14
143	442	14
161	443	3
161	455	3
25	93	124
37	101	125
394	9	100
406	9	105
418	17	112
13	85	121
108	89	99
132	101	102
144	105	104
156	113	106
176	117	109
408	41	104
420	49	104
432	53	107
454	63	108
466	65	109
490	157	95
72	249	106
334	21	97
397	37	98
443	57	107
37	57	101
49	61	101
61	65	100
478	71	107
37	77	104
49	81	101
61	83	101
94	89	98
120	101	100
72	105	105
82	113	108
94	117	108
106	121	110
184	121	105
443	145	87
61	245	104
84	253	105
346	21	92
358	25	93
370	29	90
382	29	92
13	53	101
501	49	104
25	57	101
72	67	100
84	71	101
72	85	98
120	89	101
49	99	101
61	101	101
443	133	86
478	157	94
431	199	93
443	201	94
394	221	95
406	223	98
418	225	98
49	243	104
370	37	98
442	39	98
454	41	96
25	69	98
82	87	93
95	97	96
131	109	93
168	109	98
455	137	82
501	159	94
322	173	97
334	175	97
346	179	98
358	183	98
420	197	93
358	217	98
370	219	98
382	221	98
420	9	93
406	145	84
408	145	90
419	145	83
431	143	81
455	201	89
106	473	89
117	473	91
304	489	90
315	489	90
327	489	93
420	497	77
432	493	72
397	25	87
490	137	87
478	141	87
432	153	87
443	493	80
455	493	87
358	33	79
394	153	82
406	153	79
418	153	82
311	177	82
489	441	82
382	505	79
442	417	76
358	441	71
342	446	62
407	453	70
394	453	76
373	433	70
327	464	59
245	497	68
408	503	70
234	505	70
432	441	65
420	449	65
397	465	65
453	466	55
443	476	54
477	447	59
465	455	56
