 ,Polylines,X,Y
1,0,24.364,174.127
2,0,23.508,174.524
3,0,22.577,174.799
4,0,21.462,175.004
5,0,20.476,175.120
6,0,19.492,175.181
7,0,18.506,175.188
8,0,17.521,175.145
9,0,16.533,175.069
10,0,15.532,174.986
11,0,14.512,174.929
12,0,13.477,174.966
13,0,12.475,174.964
14,0,11.479,175.029
15,0,10.465,175.340
16,0,9.507,175.532
17,0,8.545,175.741
18,0,7.556,175.946
19,0,6.514,176.090
20,0,5.472,176.098
21,0,4.505,176.068
22,0,3.545,176.010
23,0,2.576,175.912
24,0,1.482,175.848
25,0,0.500,175.809
26,1,255.486,196.774
27,1,254.480,196.688
28,1,253.493,196.573
29,1,252.500,196.502
30,1,251.500,196.482
31,1,250.500,196.492
32,1,249.500,196.503
33,1,248.500,196.487
34,1,247.505,196.426
35,1,246.522,196.314
36,1,245.559,196.149
37,1,244.407,195.954
38,1,243.450,195.712
39,1,242.511,195.465
40,1,241.641,195.168
41,1,241.260,195.077
42,1,240.438,194.614
43,1,239.706,194.173
44,1,239.229,193.918
45,1,238.558,193.419
46,1,237.439,192.578
47,1,236.851,192.060
48,1,236.334,191.704
49,1,235.751,191.198
50,1,235.237,190.805
51,1,234.674,190.295
52,1,234.151,189.903
53,1,233.584,189.393
54,1,233.031,189.064
55,1,232.459,188.558
56,1,231.756,188.070
57,1,231.294,187.815
58,1,230.561,187.387
59,1,229.752,186.933
60,1,229.356,186.781
61,1,228.534,186.418
62,1,227.641,186.071
63,1,226.442,185.664
64,1,225.547,185.360
65,1,224.656,185.024
66,1,223.464,184.602
67,1,222.552,184.310
68,1,221.559,184.070
69,1,220.467,183.991
70,1,219.515,184.008
71,1,218.434,184.098
72,1,217.451,184.296
73,1,216.525,184.577
74,1,215.656,184.916
75,1,214.438,185.327
76,1,213.556,185.653
77,1,212.661,186.011
78,1,211.478,186.440
79,1,210.526,186.612
80,1,209.534,186.728
81,1,208.575,186.929
82,1,207.423,187.176
83,1,206.470,187.337
84,1,205.491,187.338
85,1,204.501,187.259
86,1,203.494,187.207
