,Polylines,X,Y
0,0,1.0,143.0
1,0,4.0,142.0
2,0,6.0,142.0
3,0,14.0,136.0
4,0,19.0,135.0
5,1,9.0,83.0
6,1,9.0,81.0
7,1,8.0,75.0
8,1,5.0,69.0
9,1,6.0,66.0
10,1,7.0,63.0
11,1,8.0,60.0
12,1,6.0,57.0
13,2,8.0,75.0
14,2,14.0,70.0
15,2,19.0,65.0
16,2,24.0,65.0
17,2,25.0,62.0
18,2,27.0,60.0
19,2,28.0,58.0
20,2,30.0,57.0
21,2,31.0,57.0
22,3,19.0,135.0
23,3,18.0,137.0
24,3,17.0,140.0
25,3,17.0,143.0
26,3,14.0,147.0
27,3,14.0,151.0
28,4,18.0,228.0
29,4,19.0,229.0
30,4,19.0,230.0
31,4,19.0,231.0
32,4,18.0,233.0
33,4,18.0,235.0
34,4,18.0,236.0
35,4,19.0,237.0
36,4,20.0,238.0
37,4,20.0,239.0
38,4,20.0,240.0
39,4,23.0,246.0
40,4,22.0,247.0
41,4,23.0,248.0
42,4,23.0,250.0
43,4,24.0,254.0
44,5,14.0,139.0
45,5,19.0,135.0
46,5,23.0,130.0
47,5,25.0,127.0
48,5,26.0,125.0
49,5,29.0,122.0
50,5,32.0,120.0
51,5,32.0,118.0
52,5,42.0,113.0
53,5,43.0,110.0
54,5,44.0,107.0
55,6,18.0,188.0
56,6,19.0,186.0
57,6,20.0,184.0
58,6,22.0,182.0
59,6,22.0,180.0
60,6,26.0,178.0
61,6,28.0,173.0
62,6,30.0,168.0
63,6,34.0,166.0
64,6,35.0,163.0
65,6,35.0,161.0
66,7,23.0,216.0
67,7,21.0,213.0
68,7,22.0,210.0
69,7,23.0,207.0
70,7,26.0,203.0
71,7,27.0,199.0
72,7,29.0,195.0
73,7,30.0,191.0
74,7,31.0,188.0
75,7,32.0,184.0
76,7,32.0,181.0
77,7,32.0,180.0
78,8,32.0,98.0
79,8,34.0,100.0
80,8,43.0,110.0
81,8,46.0,112.0
82,9,35.0,228.0
83,9,34.0,227.0
84,9,33.0,226.0
85,9,34.0,222.0
86,9,34.0,218.0
87,9,33.0,215.0
88,9,34.0,213.0
89,9,34.0,211.0
90,9,35.0,209.0
91,10,34.0,222.0
92,10,36.0,226.0
93,10,38.0,228.0
94,10,40.0,231.0
95,10,43.0,234.0
96,10,44.0,237.0
97,10,46.0,238.0
98,10,47.0,239.0
99,10,47.0,240.0
100,10,49.0,242.0
101,10,49.0,244.0
102,10,50.0,246.0
103,10,51.0,249.0
104,10,51.0,252.0
105,10,52.0,255.0
106,10,54.0,256.0
107,10,60.0,256.0
108,11,29.0,233.0
109,11,31.0,233.0
110,11,31.0,235.0
111,11,35.0,239.0
112,11,36.0,243.0
113,11,39.0,246.0
114,11,39.0,248.0
115,11,40.0,250.0
116,11,41.0,252.0
117,12,33.0,15.0
118,12,34.0,17.0
119,12,33.0,20.0
120,12,34.0,23.0
121,12,36.0,27.0
122,12,36.0,31.0
123,12,34.0,35.0
124,12,33.0,38.0
125,13,36.0,81.0
126,13,39.0,76.0
127,13,41.0,71.0
128,13,43.0,67.0
129,13,44.0,63.0
130,13,45.0,59.0
131,14,43.0,184.0
132,14,44.0,187.0
133,14,44.0,190.0
134,14,45.0,193.0
135,14,46.0,196.0
136,14,46.0,198.0
137,14,48.0,201.0
138,14,49.0,204.0
139,14,50.0,207.0
140,14,51.0,210.0
141,14,52.0,211.0
