,Polylines,X,Y
0,0,165,0
1,0,164,0
2,0,163,0
3,0,162,1
4,0,162,2
5,1,228,1
6,1,229,1
7,1,230,1
8,1,231,1
9,1,232,2
10,1,233,3
11,1,234,4
12,1,235,5
13,1,236,6
14,2,231,4
15,2,230,4
16,2,229,5
17,2,229,6
18,2,228,7
19,2,228,8
20,2,229,9
21,2,230,9
22,2,231,9
23,3,157,12
24,3,158,13
25,3,159,12
26,3,159,11
27,3,159,10
28,3,159,9
29,3,159,8
30,3,159,7
31,3,159,6
32,4,134,11
33,4,135,10
34,4,135,9
35,4,135,8
36,4,135,7
37,5,243,18
38,5,244,17
39,5,245,16
40,5,246,15
41,5,246,14
42,5,246,13
43,5,247,12
44,5,248,11
45,5,249,10
46,5,250,9
47,5,251,9
48,6,194,13
49,6,193,13
50,6,192,12
51,6,193,11
52,6,194,11
53,7,127,8
54,7,128,9
55,7,128,10
56,7,128,11
57,7,128,12
58,7,128,13
59,7,128,14
60,7,128,15
61,7,128,16
62,7,130,14
63,7,131,15
64,7,132,16
65,7,132,17
66,7,132,18
67,8,182,15
68,8,181,15
69,8,180,15
70,8,179,15
71,8,178,16
72,8,178,17
73,8,179,18
74,8,180,18
75,9,32,16
76,9,32,17
77,9,32,18
78,9,33,19
79,9,34,20
80,10,146,34
81,10,145,33
82,10,144,32
83,10,145,31
84,10,145,30
85,10,146,29
86,10,146,28
87,10,146,27
88,10,147,26
89,10,148,26
90,10,149,25
91,10,149,24
92,10,150,23
93,10,151,22
94,10,152,21
95,10,152,20
96,11,107,23
97,11,107,24
98,11,107,25
99,11,108,26
100,11,109,26
101,11,110,27
102,11,111,27
103,12,220,30
104,12,221,30
105,12,222,30
106,12,223,29
107,12,223,28
108,12,223,27
109,12,224,26
110,12,225,25
111,12,225,24
112,12,226,23
113,13,233,25
114,13,233,26
115,13,234,27
116,13,235,26
117,13,235,25
118,13,234,24
119,14,33,26
120,14,34,27
121,14,35,27
122,14,36,27
123,14,37,26
124,14,37,25
125,15,163,28
126,15,164,29
127,15,165,28
128,15,165,27
129,15,165,26
130,15,164,25
131,16,201,30
132,16,202,29
133,16,202,28
134,16,202,27
135,16,203,26
136,16,204,25
137,16,205,23
138,16,206,22
139,16,206,21
140,16,206,20
141,16,206,19
142,16,206,18
143,16,206,17
144,16,207,16
145,16,207,15
146,16,208,14
147,16,209,13
148,16,209,12
149,16,209,11
150,16,209,10
151,16,210,9
152,16,210,8
153,16,211,7
154,16,212,6
155,16,212,5
156,16,212,4
157,16,212,3
158,16,212,2
159,16,213,1
160,16,214,1
161,16,215,0
162,17,176,26
163,17,176,27
164,17,177,28
165,17,178,29
166,17,178,30
167,17,177,31
168,18,88,30
169,18,87,30
170,18,86,30
171,18,85,29
172,18,86,28
173,19,216,29
174,19,215,30
175,19,214,30
176,19,213,31
177,19,213,32
178,19,213,33
179,19,213,34
180,19,213,35
181,20,159,30
182,20,160,30
183,20,161,30
184,20,162,31
185,20,162,32
186,20,161,33
187,20,161,34
188,20,160,35
189,20,159,36
190,20,159,37
191,21,198,34
192,21,197,33
193,21,196,32
194,21,197,31
195,21,198,31
196,21,199,31
197,21,200,32
198,21,200,33
199,21,200,34
200,22,31,32
201,22,32,32
202,22,33,33
203,22,34,34
204,22,35,34
205,22,36,34
206,23,205,37
207,23,206,37
208,23,207,37
209,23,208,36
210,23,209,36
211,23,210,36
212,23,211,36
213,24,216,36
214,24,217,36
215,24,218,36
216,24,219,36
217,24,220,36
218,25,201,39
219,25,202,40
220,25,202,41
221,25,202,42
222,25,202,43
223,25,202,44
224,26,212,43
225,26,211,42
226,26,212,41
227,26,212,40
228,26,213,39
229,27,195,42
230,27,196,42
231,27,197,41
232,27,198,41
233,27,199,40
234,28,196,50
235,28,197,50
236,28,198,49
237,28,199,48
238,28,200,47
239,28,201,46
240,28,202,46
241,28,203,46
242,28,204,47
243,28,205,48
244,28,207,49
245,28,208,50
246,28,208,51
247,28,208,52
248,28,209,53
249,28,209,54
250,28,209,55
251,28,210,56
252,28,211,57
253,29,89,55
254,29,90,55
255,29,91,54
256,29,90,53
257,29,90,52
258,30,156,55
259,30,156,56
260,30,155,57
261,30,155,58
262,30,155,59
263,30,155,60
264,31,139,56
265,31,139,57
266,31,139,58
267,31,139,59
268,31,139,60
269,32,198,59
270,32,199,59
271,32,200,58
272,32,201,58
273,32,202,58
274,32,203,58
275,32,204,58
276,33,195,60
277,33,196,60
278,33,197,61
279,33,197,62
280,33,198,63
281,33,198,64
282,33,199,65
283,33,200,65
284,33,201,65
285,34,233,66
